Item,Number of,Rarity percent,Local Rarity Points,,Total number of,670
3D Glasses No1,23,3.43%,29.13043478,,,670
3D Glasses No2,32,4.78%,20.9375,,,670
Bloody Napkin,3,0.45%,223.3333333,,,670
Blue Energy,37,5.52%,18.10810811,,,670
Bronze Medal,15,2.24%,44.66666667,,,670
Chains,1,0.15%,670,,,670
Evil Face Tattoo,34,5.07%,19.70588235,,,670
Face Cuts,25,3.73%,26.8,,,670
Frozen Chain,1,0.15%,670,,,670
Gold Chain Necklace,45,6.72%,14.88888889,,,670
Gold Metal,6,0.90%,111.6666667,,,670
Gray Collar,41,6.12%,16.34146341,,,670
Green Energy,45,6.72%,14.88888889,,,670
Green Scouter,15,2.24%,44.66666667,,,670
Mustache,24,3.58%,27.91666667,,,670
None,4,0.60%,167.5,,,670
Nose Scar,55,8.21%,12.18181818,,,670
Pentagram,23,3.43%,29.13043478,,,670
Reading Glasses,50,7.46%,13.4,,,670
Red Collar,53,7.91%,12.64150943,,,670
Red Energy,38,5.67%,17.63157895,,,670
Red Scouter,18,2.69%,37.22222222,,,670
Rudolph,9,1.34%,74.44444444,,,670
Silver Chain Necklace,62,9.25%,10.80645161,,,670
Silver Medal,11,1.64%,60.90909091,,,670
