Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
Angel Wings,23,6.91%,14.47826087,,,670
Bag of Toys,17,2.54%,39.41176471,,,670
Battle Axe,12,1.79%,55.83333333,,,670
Blue Katana,22,3.28%,30.45454545,,,670
Blue Parrot,18,2.69%,37.22222222,,,670
Bow and Arrows,17,2.54%,39.41176471,,,670
Bumble Bee,12,1.79%,55.83333333,,,670
Buster Sword,9,1.34%,74.44444444,,,670
Children,1,0.15%,670,,,670
Dark Angel Wings,10,1.49%,67,,,670
Demon Wings,13,1.94%,51.53846154,,,670
Devil Tail,18,2.69%,37.22222222,,,670
Green Parrot,24,4.65%,21.5,,,670
Monkey Tail,22,3.28%,30.45454545,,,670
Nine Tales,13,1.94%,51.53846154,,,670
None,345,51.49%,1.942028986,,,670
Rainbow Angel Wings,10,1.49%,67,,,670
Rainbow Demon Wings,7,1.04%,95.71428571,,,670
Red Katana,26,3.88%,25.76923077,,,670
Red Parrot,37,5.52%,18.10810811,,,670
Shoulder Angel,14,2.09%,47.85714286,,,670
