Item,Number of,Rarity percent,Local Rarity Points,,Total number of,670
Airline Scarf,9,1.34%,74.44444444,,,670
Airport,1,0.15%,670,,,670
Airport Night,5,0.75%,134,,,670
Beach,1,0.15%,670,,,670
Best Friend,17,2.54%,39.41176471,,,670
Bloodshot,19,2.84%,35.26315789,,,670
Cheap Red,23,3.43%,29.13043478,,,670
Cherry Blossom,7,1.04%,95.71428571,,,670
Cloud Light,12,1.79%,55.83333333,,,670
Clover Field,21,3.13%,31.9047619,,,670
Copper Battery,5,0.75%,134,,,670
Crime Scene,23,3.43%,29.13043478,,,670
Dark Pit,12,1.79%,55.83333333,,,670
Dark Woods,1,0.15%,670,,,670
Deep Retro,4,0.60%,167.5,,,670
Digital,1,0.15%,670,,,670
Evening Dining,1,0.15%,670,,,670
Fire,1,0.15%,670,,,670
Fish,2,0.30%,335,,,670
Forever Sunshine,24,3.58%,27.91666667,,,670
Golden,1,0.15%,670,,,670
Good Morning,6,0.90%,111.6666667,,,670
Gum,11,1.64%,60.90909091,,,670
Hazy Eve,15,2.24%,44.66666667,,,670
Hex Orange,9,1.34%,74.44444444,,,670
Iced,1,0.15%,670,,,670
Inverse Day,19,2.84%,35.26315789,,,670
Island in Blood,9,1.34%,74.44444444,,,670
Lilac,20,2.99%,33.5,,,670
Monochrome,24,3.58%,27.91666667,,,670
Movie Foam,19,2.84%,35.26315789,,,670
Mustard,21,3.13%,31.9047619,,,670
Old New York,1,0.15%,670,,,670
Opening Scene,9,1.34%,74.44444444,,,670
Outdoor Cafe,1,0.15%,670,,,670
Paris,1,0.15%,670,,,670
Peach Line,10,1.49%,67,,,670
Pinot Noir Film,21,3.13%,31.9047619,,,670
Polaroid Christmas,1,0.15%,670,,,670
Psycho,16,2.39%,41.875,,,670
Red Window,14,2.09%,47.85714286,,,670
Rojo,22,3.28%,30.45454545,,,670
Sacre Bleu,23,3.43%,29.13043478,,,670
Score Line,22,3.28%,30.45454545,,,670
Seattle Proper,17,2.54%,39.41176471,,,670
Skinny Dip,30,4.48%,22.33333333,,,670
Skyism,19,2.84%,35.26315789,,,670
Stroke,3,0.45%,223.3333333,,,670
Summer,19,2.84%,35.26315789,,,670
Sun Belt,18,2.69%,37.22222222,,,670
Sunshine,21,3.13%,31.9047619,,,670
Water Hole,18,2.69%,37.22222222,,,670
Watermelon,21,3.13%,31.9047619,,,670
Watermelon Stripe,18,2.69%,37.22222222,,,670
Yellow Light,1,0.15%,670,,,670
