Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
Black and White,1,0.30%,333,,,670
Blue,71,10.60%,9.436619718,,,670
Brown,59,8.81%,11.3559322,,,670
Christmas,1,0.15%,670,,,670
Digital,1,0.15%,670,,,670
Fat and Hairy,1,0.15%,670,,,670
Frozen,1,0.15%,670,,,670
Gold,1,0.15%,670,,,670
Gray,78,11.64%,8.58974359,,,670
Green,46,6.87%,14.56521739,,,670
Orange,77,11.49%,8.701298701,,,670
Pink,67,10.00%,10,,,670
Purple,65,9.70%,10.30769231,,,670
Red,58,8.66%,11.55172414,,,670
Teal,76,11.34%,8.815789474,,,670
Yellow,67,10.00%,10,,,670
