Item,Number of,Rarity percent,Local Rarity Points,,Total number of,670
Baphomet,31,4.63%,21.61290323,,,670
Black and White Suit,1,0.15%,670,,,670
Black ERGoat Shirt,47,7.01%,14.25531915,,,670
Black Suit,46,6.87%,14.56521739,,,670
Blue Ninja Armor,14,2.09%,47.85714286,,,670
Bulls Jersey,13,1.94%,51.53846154,,,670
Celtics Jersey,7,1.04%,95.71428571,,,670
Christmas Shirt,1,0.15%,670,,,670
Dark Santa,8,1.19%,83.75,,,670
Dinner Suit,3,0.45%,223.3333333,,,670
Drug Rug No1,12,1.79%,55.83333333,,,670
Drug Rug No2,7,1.04%,95.71428571,,,670
Goats Jersey,10,1.49%,67,,,670
Goku Gi,8,1.19%,83.75,,,670
Green Hawaiian Shirt,17,2.54%,39.41176471,,,670
Green Ninja Armor,9,1.34%,74.44444444,,,670
Holiday ERGoat Shirt,21,3.13%,31.9047619,,,670
Holiday Suit,28,4.18%,23.92857143,,,670
Joker Suit,24,3.58%,27.91666667,,,670
Lab Coat No1,32,4.78%,20.9375,,,670
Lab Coat No2,30,4.48%,22.33333333,,,670
Negan Jacket,16,2.39%,41.875,,,670
None,4,0.60%,167.5,,,670
Orange Hawaiian Shirt,9,1.34%,74.44444444,,,670
Pink Suit,25,3.73%,26.8,,,670
Purple Hawaiian Shirt,16,2.39%,41.875,,,670
Ripped Suit,43,6.42%,15.58139535,,,670
Ronin Black,41,6.12%,16.34146341,,,670
Ronin White,20,2.99%,33.5,,,670
Saiyan Armor,5,0.75%,134,,,670
Santa,13,1.94%,51.53846154,,,670
Santa Sweater,9,1.34%,74.44444444,,,670
Tat Blasted,19,2.84%,35.26315789,,,670
White ERGoat Shirt,34,5.07%,19.70588235,,,670
White Suit,41,6.12%,16.34146341,,,670
Yellow Ninja Armor,6,0.90%,111.6666667,,,670
