Item,Number of,Rarity percent,Local Rarity Points,,Total number of,670,,,,,,,,,,,Global Total:
Diamond Stud,44,6.57%,15.22727273,,,670,,,,,,,,,,,
Disco Ball,29,4.33%,23.10344828,,,670,,,,,,,,,,,
Ergo Chain,47,7.01%,14.25531915,,,670,,,,,,,,,,,
Gold Hoop,39,5.82%,17.17948718,,,670,,,,,,,,,,,
Hanafudu No1,20,2.99%,33.5,,,670,,,,,,,,,,,
Hanafudu No2,31,4.63%,21.61290323,,,670,,,,,,,,,,,
None,175,26.12%,3.828571429,,,670,,,,,,,,,,,
Off White Tag,19,2.84%,35.26315789,,,670,,,,,,,,,,,
Pentagram,29,4.33%,23.10344828,,,670,,,,,,,,,,,
Present,15,2.24%,44.66666667,,,670,,,,,,,,,,,
Rainbow Disco Ball,19,2.84%,35.26315789,,,670,,,,,,,,,,,
Ruby Stud,27,4.03%,24.81481481,,,670,,,,,,,,,,,
Safety Pin,37,5.52%,18.10810811,,,670,,,,,,,,,,,
Sapphire Stud,26,3.88%,25.76923077,,,670,,,,,,,,,,,
Silver Hoop,34,5.07%,19.70588235,,,670,,,,,,,,,,,
Snow Globe,23,3.43%,29.13043478,,,670,,,,,,,,,,,
Snowman,26,3.88%,25.76923077,,,670,,,,,,,,,,,
Spikes,30,4.48%,22.33333333,,,670,,,,,,,,,,,
