Item,Number of,Rarity percent,Local Rarity Points,,Total number of,670
Angry Purple,66,9.85%,10.15151515,,,670
Angry Red,59,8.81%,11.3559322,,,670
Assassin Gray,51,7.61%,13.1372549,,,670
Assassin Green,59,8.81%,11.3559322,,,670
Calm Purple,101,15.07%,6.633663366,,,670
Calm Teal,76,11.34%,8.815789474,,,670
Cold Silver,1,0.15%,670,,,670
Crazy Blue,72,10.75%,9.305555556,,,670
Crazy Yellow,66,9.85%,10.15151515,,,670
Dollah,4,0.60%,167.5,,,670
Ergo,6,0.90%,111.6666667,,,670
Ergo Games,1,0.15%,670,,,670
Gold,1,0.15%,670,,,670
Green Christmas,1,0.15%,670,,,670
Heart,7,1.04%,95.71428571,,,670
Kawaii,14,2.09%,47.85714286,,,670
Madness,1,0.15%,670,,,670
Shoujo,17,2.54%,39.41176471,,,670
Stoned,51,7.61%,13.1372549,,,670
Super,16,2.39%,41.875,,,670
