ID,Background,Back Accessory,Body,Clothes,Mouth,Eyes,Wield,Accessory,Head,Earring,Rarity,Metadata
00334,Island in Blood,Devil Tail,Orange,Ripped Suit,Pierced Tongue,Angry Red,Cigarette,Red Collar,Blue Afro,Ergo Chain,740.8,"{""721"":{""ergoat-00334"":{""index"":00334,""generation"":1,""background"":""Island in Blood"",""back_accessory"":""Devil Tail"",""body"":""Orange"",""clothes"":""Ripped Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Angry Red"",""wield"":""Cigarette"",""accessory"":""Red Collar"",""head"":""Blue Afro"",""earring"":""Ergo Chain""}}}"
00335,Inverse Day,None,Red,White ERGoat Shirt,Gritted Teeth,Crazy Blue,Basketball,Pentagram,Santa Hat,Diamond Stud,844.5,"{""721"":{""ergoat-00335"":{""index"":00335,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""White ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Blue"",""wield"":""Basketball"",""accessory"":""Pentagram"",""head"":""Santa Hat"",""earring"":""Diamond Stud""}}}"
00336,Mustard,None,Brown,Santa Sweater,Pierced Tongue,Angry Purple,Tie Dye Wine,Evil Face Tattoo,Snowy Tophat,Rainbow Disco Ball,803.2,"{""721"":{""ergoat-00336"":{""index"":00336,""generation"":1,""background"":""Mustard"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Santa Sweater"",""mouth"":""Pierced Tongue"",""eyes"":""Angry Purple"",""wield"":""Tie Dye Wine"",""accessory"":""Evil Face Tattoo"",""head"":""Snowy Tophat"",""earring"":""Rainbow Disco Ball""}}}"
00337,Movie Foam,None,Pink,Drug Rug No1,Snake,Stoned,Dragon Ball,Gray Collar,Blue Afro,Rainbow Disco Ball,743.1,"{""721"":{""ergoat-00337"":{""index"":00337,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Drug Rug No1"",""mouth"":""Snake"",""eyes"":""Stoned"",""wield"":""Dragon Ball"",""accessory"":""Gray Collar"",""head"":""Blue Afro"",""earring"":""Rainbow Disco Ball""}}}"
00338,Summer,Shoulder Angel,Blue,Lab Coat No2,Grin,Calm Purple,Christmas Mug,3D Glasses No2,Clown Afro,Ergo Chain,760.6,"{""721"":{""ergoat-00338"":{""index"":00338,""generation"":1,""background"":""Summer"",""back_accessory"":""Shoulder Angel"",""body"":""Blue"",""clothes"":""Lab Coat No2"",""mouth"":""Grin"",""eyes"":""Calm Purple"",""wield"":""Christmas Mug"",""accessory"":""3D Glasses No2"",""head"":""Clown Afro"",""earring"":""Ergo Chain""}}}"
00339,Best Friend,None,Teal,Baphomet,Smirk,Calm Purple,Cigarette,Silver Medal,Red Beanie,Hanafudu No2,852.6,"{""721"":{""ergoat-00339"":{""index"":00339,""generation"":1,""background"":""Best Friend"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Baphomet"",""mouth"":""Smirk"",""eyes"":""Calm Purple"",""wield"":""Cigarette"",""accessory"":""Silver Medal"",""head"":""Red Beanie"",""earring"":""Hanafudu No2""}}}"
00340,Sun Belt,Monkey Tail,Orange,Santa,Snake,Calm Teal,White Wine,Gold Chain Necklace,Red Beanie,None,833.2,"{""721"":{""ergoat-00340"":{""index"":00340,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""Monkey Tail"",""body"":""Orange"",""clothes"":""Santa"",""mouth"":""Snake"",""eyes"":""Calm Teal"",""wield"":""White Wine"",""accessory"":""Gold Chain Necklace"",""head"":""Red Beanie"",""earring"":""None""}}}"
00341,Sun Belt,None,Yellow,White ERGoat Shirt,Smirk,Assassin Green,Necronomicon,3D Glasses No1,Snowy Tophat,Spikes,837.5,"{""721"":{""ergoat-00341"":{""index"":00341,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""White ERGoat Shirt"",""mouth"":""Smirk"",""eyes"":""Assassin Green"",""wield"":""Necronomicon"",""accessory"":""3D Glasses No1"",""head"":""Snowy Tophat"",""earring"":""Spikes""}}}"
00342,Cheap Red,Bag of Toys,Pink,Goats Jersey,Sharp,Calm Teal,White Wine,Reading Glasses,Dark Horns,None,868.8,"{""721"":{""ergoat-00342"":{""index"":00342,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""Bag of Toys"",""body"":""Pink"",""clothes"":""Goats Jersey"",""mouth"":""Sharp"",""eyes"":""Calm Teal"",""wield"":""White Wine"",""accessory"":""Reading Glasses"",""head"":""Dark Horns"",""earring"":""None""}}}"
00343,Hex Orange,Blue Parrot,Brown,Black Suit,Missing Tooth,Assassin Gray,Wolverine,Evil Face Tattoo,Green Beanie,Gold Hoop,778.5,"{""721"":{""ergoat-00343"":{""index"":00343,""generation"":1,""background"":""Hex Orange"",""back_accessory"":""Blue Parrot"",""body"":""Brown"",""clothes"":""Black Suit"",""mouth"":""Missing Tooth"",""eyes"":""Assassin Gray"",""wield"":""Wolverine"",""accessory"":""Evil Face Tattoo"",""head"":""Green Beanie"",""earring"":""Gold Hoop""}}}"
