Item,Number of,Rarity percent,Local Rarity Points,,Total number of,670,,,,,,,,,,,Global Total:
Afro,23,3.43%,29.13043478,,,670,,,,,,,,,,,
Afro Samurai,4,0.60%,167.5,,,670,,,,,,,,,,,
Blue Afro,24,3.58%,27.91666667,,,670,,,,,,,,,,,
Blue Flame,25,3.73%,26.8,,,670,,,,,,,,,,,
Clown Afro,11,1.64%,60.90909091,,,670,,,,,,,,,,,
Cold Ram Horns,1,0.15%,670,,,670,,,,,,,,,,,
Cowboy Hat,31,4.63%,21.61290323,,,670,,,,,,,,,,,
Dark Cowboy Hat,29,4.33%,23.10344828,,,670,,,,,,,,,,,
Dark Horns,24,3.58%,27.91666667,,,670,,,,,,,,,,,
Dark Ronin Hat,22,3.28%,30.45454545,,,670,,,,,,,,,,,
Dark Santa Hat,7,1.04%,95.71428571,,,670,,,,,,,,,,,
Darkest Horns,1,0.15%,670,,,670,,,,,,,,,,,
Digital Horns,1,0.15%,670,,,670,,,,,,,,,,,
Flame,21,3.13%,31.9047619,,,670,,,,,,,,,,,
Gold,1,0.15%,670,,,670,,,,,,,,,,,
Green Beanie,33,4.93%,20.3030303,,,670,,,,,,,,,,,
Green Neon Horns,29,4.33%,23.10344828,,,670,,,,,,,,,,,
Halo,7,1.04%,95.71428571,,,670,,,,,,,,,,,
Headband,31,4.63%,21.61290323,,,670,,,,,,,,,,,
Horns,29,4.33%,23.10344828,,,670,,,,,,,,,,,
Orange Afro,23,3.43%,29.13043478,,,670,,,,,,,,,,,
Pink Neon Horns,20,2.99%,33.5,,,670,,,,,,,,,,,
Purple Beanie,38,5.67%,17.63157895,,,670,,,,,,,,,,,
Ram Horns,28,4.18%,23.92857143,,,670,,,,,,,,,,,
Rambo,29,4.33%,23.10344828,,,670,,,,,,,,,,,
Red Beanie,34,5.07%,19.70588235,,,670,,,,,,,,,,,
Ronin Hat,27,4.03%,24.81481481,,,670,,,,,,,,,,,
Royal Guard Hat,22,3.28%,30.45454545,,,670,,,,,,,,,,,
Santa Hat,21,3.13%,31.9047619,,,670,,,,,,,,,,,
Snowy Tophat,22,3.28%,30.45454545,,,670,,,,,,,,,,,
Super Blonde,5,0.75%,134,,,670,,,,,,,,,,,
Super Blue,9,1.34%,74.44444444,,,670,,,,,,,,,,,
War Helmet,21,3.13%,31.9047619,,,670,,,,,,,,,,,
Xmas Lights,17,2.54%,39.41176471,,,670,,,,,,,,,,,
