Item,Number of,Rarity percent,Local Rarity Points,,Total number of,670
Evil Smile,1,0.15%,670,,,670
Flopped,56,8.36%,11.96428571,,,670
Frozen Tooth,1,0.15%,670,,,670
Gold,1,0.15%,670,,,670
Gold Tooth,47,7.01%,14.25531915,,,670
Grin,78,11.64%,8.58974359,,,670
Gritted Teeth,75,11.19%,8.933333333,,,670
Hungry,3,0.45%,223.3333333,,,670
Missing Tooth,74,11.04%,9.054054054,,,670
None,1,0.15%,670,,,670
Pierced Tongue,42,6.27%,15.95238095,,,670
Screaming,66,9.85%,10.15151515,,,670
Sharp,73,10.90%,9.178082192,,,670
Smirk,60,8.96%,11.16666667,,,670
Snake,47,7.01%,14.25531915,,,670
Tongue Tied,45,6.72%,14.88888889,,,670
