ID,Total Rarity Score,Rarity,Background,Rarity,Back Accessory,Rarity,Body,Rarity,Clothes,Rarity,Mouth,Rarity,Eyes,Rarity,Wield,Rarity,Accessory,Rarity,Head,Rarity,Earring,Rarity
00334,234.0235501,216,Island in Blood,74.44444444,Devil Tail,37.22222222,Orange,8.701298701,Ripped Suit,15.58139535,Pierced Tongue,15.95238095,Angry Red,11.3559322,Cigarette,15.95238095,Red Collar,12.64150943,Blue Afro,27.91666667,Ergo Chain,14.25531915
00335,193.4186971,433,Inverse Day,35.26315789,None,1.942028986,Red,11.55172414,White ERGoat Shirt,19.70588235,Gritted Teeth,8.933333333,Crazy Blue,9.305555556,Basketball,30.45454545,Pentagram,29.13043478,Santa Hat,31.9047619,Diamond Stud,15.22727273
00336,245.4299685,167,Mustard,31.9047619,None,1.942028986,Brown,11.3559322,Santa Sweater,74.44444444,Pierced Tongue,15.95238095,Angry Purple,10.15151515,Tie Dye Wine,14.25531915,Evil Face Tattoo,19.70588235,Snowy Tophat,30.45454545,Rainbow Disco Ball,35.26315789
00337,247.1746045,160,Movie Foam,35.26315789,None,1.942028986,Pink,10,Drug Rug No1,55.83333333,Snake,14.25531915,Stoned,13.1372549,Dragon Ball,37.22222222,Gray Collar,16.34146341,Blue Afro,27.91666667,Rainbow Disco Ball,35.26315789
00338,242.1679518,185,Summer,35.26315789,Shoulder Angel,47.85714286,Blue,9.436619718,Lab Coat No2,22.33333333,Grin,8.58974359,Calm Purple,6.633663366,Christmas Mug,15.95238095,3D Glasses No2,20.9375,Clown Afro,60.90909091,Ergo Chain,14.25531915
00339,207.7630739,346,Best Friend,39.41176471,None,1.942028986,Teal,8.815789474,Baphomet,21.61290323,Smirk,11.16666667,Calm Purple,6.633663366,Cigarette,15.95238095,Silver Medal,60.90909091,Red Beanie,19.70588235,Hanafudu No2,21.61290323
00340,203.0844486,368,Sun Belt,37.22222222,Monkey Tail,30.45454545,Orange,8.701298701,Santa,51.53846154,Snake,14.25531915,Calm Teal,8.815789474,White Wine,13.67346939,Gold Chain Necklace,14.88888889,Red Beanie,19.70588235,None,3.828571429
00341,194.9239492,425,Sun Belt,37.22222222,None,1.942028986,Yellow,10,White ERGoat Shirt,19.70588235,Smirk,11.16666667,Assassin Green,11.3559322,Necronomicon,21.61290323,3D Glasses No1,29.13043478,Snowy Tophat,30.45454545,Spikes,22.33333333
00342,222.3547786,271,Cheap Red,29.13043478,Bag of Toys,39.41176471,Pink,10,Goats Jersey,67,Sharp,9.178082192,Calm Teal,8.815789474,White Wine,13.67346939,Reading Glasses,13.4,Dark Horns,27.91666667,None,3.828571429
00343,229.3749325,236,Hex Orange,74.44444444,Blue Parrot,37.22222222,Brown,11.3559322,Black Suit,14.56521739,Missing Tooth,9.054054054,Assassin Gray,13.1372549,Wolverine,12.40740741,Evil Face Tattoo,19.70588235,Green Beanie,20.3030303,Gold Hoop,17.17948718
00344,189.2073414,466,Sunshine,31.9047619,None,1.942028986,Blue,9.436619718,Ronin White,33.5,Smirk,11.16666667,Calm Teal,8.815789474,Cocktail,22.33333333,Bronze Medal,44.66666667,Headband,21.61290323,None,3.828571429
00345,224.5652787,250,Bloodshot,35.26315789,None,1.942028986,Green,14.56521739,Pink Suit,26.8,Grin,8.58974359,Kawaii,47.85714286,Snowball,20.3030303,Red Collar,12.64150943,Dark Cowboy Hat,23.10344828,Hanafudu No1,33.5
00346,222.3617391,269,Psycho,41.875,Green Parrot,21.5,Purple,10.30769231,White ERGoat Shirt,19.70588235,Gritted Teeth,8.933333333,Angry Red,11.3559322,Spirit Gun,22.33333333,Silver Medal,60.90909091,Cowboy Hat,21.61290323,None,3.828571429
00347,270.8398624,110,Water Hole,37.22222222,Shoulder Angel,47.85714286,Blue,9.436619718,Black Suit,14.56521739,Flopped,11.96428571,Super,41.875,Red Wine,17.17948718,Red Scouter,37.22222222,Santa Hat,31.9047619,Hanafudu No2,21.61290323
00348,230.8707285,229,Psycho,41.875,Nine Tales,51.53846154,Orange,8.701298701,Lab Coat No1,20.9375,Gritted Teeth,8.933333333,Angry Purple,10.15151515,White Wine,13.67346939,Red Energy,17.63157895,Ram Horns,23.92857143,Hanafudu No1,33.5
00349,156.4556007,626,Hazy Eve,44.66666667,None,1.942028986,Purple,10.30769231,Lab Coat No1,20.9375,Missing Tooth,9.054054054,Angry Purple,10.15151515,Tie Dye Wine,14.25531915,Nose Scar,12.18181818,Orange Afro,29.13043478,None,3.828571429
00350,221.0103082,281,Sunshine,31.9047619,Dark Angel Wings,67,Purple,10.30769231,Tat Blasted,35.26315789,Sharp,9.178082192,Calm Teal,8.815789474,Katana,13.4,Nose Scar,12.18181818,Afro,29.13043478,None,3.828571429
00351,165.5828671,580,Mustard,31.9047619,None,1.942028986,Purple,10.30769231,Holiday Suit,23.92857143,Flopped,11.96428571,Calm Purple,6.633663366,Trident,19.14285714,Pentagram,29.13043478,Blue Flame,26.8,None,3.828571429
00352,212.6326059,322,Airline Scarf,74.44444444,None,1.942028986,Yellow,10,Baphomet,21.61290323,Grin,8.58974359,Assassin Gray,13.1372549,White Wine,13.67346939,Red Collar,12.64150943,Xmas Lights,39.41176471,Gold Hoop,17.17948718
00353,167.05155,577,Rojo,30.45454545,None,1.942028986,Teal,8.815789474,Pink Suit,26.8,Missing Tooth,9.054054054,Calm Purple,6.633663366,Spirit Gun,22.33333333,Nose Scar,12.18181818,Red Beanie,19.70588235,Snow Globe,29.13043478
00354,195.621661,417,Cheap Red,29.13043478,Devil Tail,37.22222222,Red,11.55172414,Black Suit,14.56521739,Pierced Tongue,15.95238095,Crazy Yellow,10.15151515,Cigarette,15.95238095,Green Energy,14.88888889,Dark Cowboy Hat,23.10344828,Pentagram,23.10344828
00355,204.5101144,364,Mustard,31.9047619,Red Parrot,18.10810811,Yellow,10,Holiday ERGoat Shirt,31.9047619,Gritted Teeth,8.933333333,Crazy Yellow,10.15151515,Tie Dye Wine,14.25531915,3D Glasses No2,20.9375,Pink Neon Horns,33.5,Ruby Stud,24.81481481
00356,201.5937071,377,Skinny Dip,22.33333333,None,1.942028986,Pink,10,Negan Jacket,41.875,Screaming,10.15151515,Angry Red,11.3559322,Cocktail,22.33333333,Mustache,27.91666667,Dark Horns,27.91666667,Snowman,25.76923077
00357,304.5846891,65,Airline Scarf,74.44444444,Demon Wings,51.53846154,Blue,9.436619718,Lab Coat No2,22.33333333,Flopped,11.96428571,Calm Teal,8.815789474,Spirit Gun,22.33333333,Silver Medal,60.90909091,Horns,23.10344828,Silver Hoop,19.70588235
00358,188.5072392,473,Summer,35.26315789,Devil Tail,37.22222222,Teal,8.815789474,White Suit,16.34146341,Sharp,9.178082192,Crazy Yellow,10.15151515,Cigarette,15.95238095,Nose Scar,12.18181818,Purple Beanie,17.63157895,Snowman,25.76923077
00359,179.9270611,520,Mustard,31.9047619,Red Parrot,18.10810811,Green,14.56521739,White Suit,16.34146341,Gritted Teeth,8.933333333,Assassin Green,11.3559322,Christmas Mug,15.95238095,Nose Scar,12.18181818,Ronin Hat,24.81481481,Sapphire Stud,25.76923077
00360,249.2975441,155,Monochrome,27.91666667,Dark Angel Wings,67,Orange,8.701298701,Blue Ninja Armor,47.85714286,Missing Tooth,9.054054054,Stoned,13.1372549,Trident,19.14285714,Silver Chain Necklace,10.80645161,Royal Guard Hat,30.45454545,Diamond Stud,15.22727273
00361,260.6880801,125,Hazy Eve,44.66666667,None,1.942028986,Gray,8.58974359,Baphomet,21.61290323,Gritted Teeth,8.933333333,Calm Purple,6.633663366,White Wine,13.67346939,Green Scouter,44.66666667,Halo,95.71428571,Ergo Chain,14.25531915
00362,189.3560501,463,Summer,35.26315789,None,1.942028986,Blue,9.436619718,White ERGoat Shirt,19.70588235,Screaming,10.15151515,Angry Red,11.3559322,Snowball,20.3030303,3D Glasses No1,29.13043478,Royal Guard Hat,30.45454545,Hanafudu No2,21.61290323
00363,181.546565,516,Watermelon,31.9047619,Angel Wings,14.47826087,Red,11.55172414,Lab Coat No1,20.9375,Sharp,9.178082192,Calm Purple,6.633663366,Wolverine,12.40740741,3D Glasses No2,20.9375,War Helmet,31.9047619,Hanafudu No2,21.61290323
00364,223.5375308,259,Seattle Proper,39.41176471,Blue Parrot,37.22222222,Gray,8.58974359,White Suit,16.34146341,Gritted Teeth,8.933333333,Angry Red,11.3559322,Cocktail,22.33333333,Nose Scar,12.18181818,Flame,31.9047619,Off White Tag,35.26315789
00365,164.036131,590,Watermelon Stripe,37.22222222,Monkey Tail,30.45454545,Teal,8.815789474,Black ERGoat Shirt,14.25531915,Sharp,9.178082192,Calm Purple,6.633663366,Wolverine,12.40740741,3D Glasses No2,20.9375,Green Beanie,20.3030303,None,3.828571429
00366,156.4824959,625,Watermelon,31.9047619,None,1.942028986,Yellow,10,White Suit,16.34146341,Missing Tooth,9.054054054,Angry Purple,10.15151515,Basketball,30.45454545,Gold Chain Necklace,14.88888889,Blue Afro,27.91666667,None,3.828571429
00367,179.2293018,523,Clover Field,31.9047619,None,1.942028986,Red,11.55172414,Black ERGoat Shirt,14.25531915,Gritted Teeth,8.933333333,Assassin Green,11.3559322,Candy Cane,51.53846154,Gold Chain Necklace,14.88888889,Purple Beanie,17.63157895,Diamond Stud,15.22727273
00368,220.7245334,282,Cloud Light,55.83333333,Monkey Tail,30.45454545,Purple,10.30769231,Ronin White,33.5,Flopped,11.96428571,Calm Teal,8.815789474,Cigarette,15.95238095,3D Glasses No2,20.9375,Orange Afro,29.13043478,None,3.828571429
00369,160.6342284,607,Cheap Red,29.13043478,None,1.942028986,Red,11.55172414,Black ERGoat Shirt,14.25531915,Missing Tooth,9.054054054,Crazy Blue,9.305555556,Red Wine,17.17948718,Red Energy,17.63157895,Ronin Hat,24.81481481,Sapphire Stud,25.76923077
00370,230.5612479,231,Lilac,33.5,Devil Tail,37.22222222,Orange,8.701298701,Drug Rug No1,55.83333333,Flopped,11.96428571,Stoned,13.1372549,Spirit Gun,22.33333333,3D Glasses No2,20.9375,Rambo,23.10344828,None,3.828571429
00371,228.8298452,238,Rojo,30.45454545,Battle Axe,55.83333333,Blue,9.436619718,Ronin Black,16.34146341,Pierced Tongue,15.95238095,Assassin Green,11.3559322,White Wine,13.67346939,Blue Energy,18.10810811,Santa Hat,31.9047619,Sapphire Stud,25.76923077
00372,182.5642956,507,Movie Foam,35.26315789,Red Parrot,18.10810811,Brown,11.3559322,Lab Coat No1,20.9375,Grin,8.58974359,Calm Purple,6.633663366,Trident,19.14285714,Face Cuts,26.8,War Helmet,31.9047619,None,3.828571429
00373,237.5171054,203,Sunshine,31.9047619,None,1.942028986,Purple,10.30769231,Santa Sweater,74.44444444,Gold Tooth,14.25531915,Angry Red,11.3559322,Cigarette,15.95238095,Reading Glasses,13.4,Dark Ronin Hat,30.45454545,Hanafudu No1,33.5
00374,182.0745156,511,Seattle Proper,39.41176471,None,1.942028986,Gray,8.58974359,Negan Jacket,41.875,Grin,8.58974359,Calm Teal,8.815789474,Spiked Bat,16.75,Green Energy,14.88888889,Horns,23.10344828,Safety Pin,18.10810811
00375,254.2339031,144,Red Window,47.85714286,Angel Wings,14.47826087,Gray,8.58974359,Dark Santa,83.75,Gold Tooth,14.25531915,Crazy Blue,9.305555556,Tie Dye Wine,14.25531915,Blue Energy,18.10810811,Ram Horns,23.92857143,Silver Hoop,19.70588235
00376,215.7508781,310,Cheap Red,29.13043478,None,1.942028986,Brown,11.3559322,Negan Jacket,41.875,Tongue Tied,14.88888889,Shoujo,39.41176471,Cocktail,22.33333333,Red Collar,12.64150943,Blue Afro,27.91666667,Ergo Chain,14.25531915
