Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
Blue Goatee,17,5.11%,19.58823529,,,333
Brown Mutton Chops and Goatee,16,4.80%,20.8125,,,333
Carrot,8,2.40%,41.625,,,333
Cigar,15,4.50%,22.2,,,333
Cork,16,4.80%,20.8125,,,333
Corn Cob Pipe,29,8.71%,11.48275862,,,333
Goatee,27,8.11%,12.33333333,,,333
Gold Neck Electronics,8,2.40%,41.625,,,333
Green Goatee,19,5.71%,17.52631579,,,333
Halo,12,3.60%,27.75,,,333
Magical Scar,17,5.11%,19.58823529,,,333
Mutton Chops and Goatee,17,5.11%,19.58823529,,,333
Neck Electronics,16,4.80%,20.8125,,,333
Neck Scar,13,3.90%,25.61538462,,,333
None,34,10.21%,9.794117647,,,333
Nose Ring,26,7.81%,12.80769231,,,333
Pink Goatee,18,5.41%,18.5,,,333
Pipe,17,5.11%,19.58823529,,,333
Soul Patch,8,2.40%,41.625,,,333
