Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
Blue Surf Board,16,4.80%,20.8125,,,333
Blue Wings,11,3.30%,30.27272727,,,333
Broomstick,19,5.71%,17.52631579,,,333
Dark Wings,8,2.40%,41.625,,,333
Gold Shimmer Wings,1,0.30%,333,,,333
Gold Wings,4,1.20%,83.25,,,333
Medieval Sword,23,6.91%,14.47826087,,,333
Ninja Swords,10,3.00%,33.3,,,333
None,203,60.96%,1.640394089,,,333
Rainbow Wings,10,3.00%,33.3,,,333
Red Ninja Swords,12,3.60%,27.75,,,333
Red Surf Board,16,4.80%,20.8125,,,333
