Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
90's Sunset,1,0.30%,333,,,333
Apple Pop,6,1.80%,55.5,,,333
Art Studio,10,3.00%,33.3,,,333
Bubble Gum,8,2.40%,41.625,,,333
Burnt Citrus,9,2.70%,37,,,333
Chocolate Chip Mint,5,1.50%,66.6,,,333
Corriander Spice,15,4.50%,22.2,,,333
Dark Fire,1,0.30%,333,,,333
Darkness Shimmer,1,0.30%,333,,,333
Dead Island,15,4.50%,22.2,,,333
Drop in the Mustard,9,2.70%,37,,,333
Easter,8,2.40%,41.625,,,333
Fresh Squeezed,10,3.00%,33.3,,,333
Full Moon,16,4.80%,20.8125,,,333
Hot Summer,9,2.70%,37,,,333
Island in the Sun,12,3.60%,27.75,,,333
Lion Heart,8,2.40%,41.625,,,333
London,1,0.30%,333,,,333
Magic Class,1,0.30%,333,,,333
Mead Hall,1,0.30%,333,,,333
Monster Eye,9,2.70%,37,,,333
Peach Fuzz,12,3.60%,27.75,,,333
Pink Lemonade,13,3.90%,25.61538462,,,333
Pinot Noir,9,2.70%,37,,,333
Pool,14,4.20%,23.78571429,,,333
Quiet Moment,9,2.70%,37,,,333
Ribeye,8,2.40%,41.625,,,333
Royal Lion,5,1.50%,66.6,,,333
Shallow Sea,11,3.30%,30.27272727,,,333
Shipyard,11,3.30%,30.27272727,,,333
Sorbet,8,2.40%,41.625,,,333
Space,1,0.30%,333,,,333
Submarine,9,2.70%,37,,,333
Sunset,10,3.00%,33.3,,,333
Super Soft Birthday,9,2.70%,37,,,333
Swamp Gas,7,2.10%,47.57142857,,,333
Tangarine Dream,10,3.00%,33.3,,,333
Toy Story,7,2.10%,47.57142857,,,333
War,1,0.30%,333,,,333
Water World,5,1.50%,66.6,,,333
Watermelon Man,9,2.70%,37,,,333
Yacht,10,3.00%,33.3,,,333
