Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
After Hours Robe,16,4.80%,20.8125,,,333
Anime Armor,11,3.30%,30.27272727,,,333
Army Formal Suit,16,4.80%,20.8125,,,333
Black Master Ninja Robe,8,2.40%,41.625,,,333
Black Ninja Robe,13,3.90%,25.61538462,,,333
Blue Polo,9,2.70%,37,,,333
Business Suit,16,4.80%,20.8125,,,333
Digital Tank Top,3,0.90%,111,,,333
Dumb Orange Suit,7,2.10%,47.57142857,,,333
Dumber Blue Suit,7,2.10%,47.57142857,,,333
Formal Suit,21,6.31%,15.85714286,,,333
Funeral Suit,11,3.30%,30.27272727,,,333
Green Polo,14,4.20%,23.78571429,,,333
Green Tank Top,13,3.90%,25.61538462,,,333
Holy Robe,11,3.30%,30.27272727,,,333
Junior Ninja Robe,10,3.00%,33.3,,,333
Magic Robe,9,2.70%,37,,,333
None,14,4.20%,23.78571429,,,333
Orange Master Ninja Robe,8,2.40%,41.625,,,333
Orange Ninja Robe,11,3.30%,30.27272727,,,333
Orange Tank Top,12,3.60%,27.75,,,333
Pink Polo,10,3.00%,33.3,,,333
Purple Tank Top,15,4.50%,22.2,,,333
Ripped Business Suit,10,3.00%,33.3,,,333
Ripped Formal Suit,5,1.50%,66.6,,,333
Ripped Funeral Suit,7,2.10%,47.57142857,,,333
Sherlock Suit,7,2.10%,47.57142857,,,333
Sport Coat,10,3.00%,33.3,,,333
Tank Top,12,3.60%,27.75,,,333
Tie Dye TShirt,17,5.11%,19.58823529,,,333
