Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333,,,,,,,,,,,Global Total:
Bent Nail,13,3.90%,25.61538462,,,333,,,,,,,,,,,
Blue Balloon,8,2.40%,41.625,,,333,,,,,,,,,,,
Corkscrew,19,5.71%,17.52631579,,,333,,,,,,,,,,,
Dark Flower,10,3.00%,33.3,,,333,,,,,,,,,,,
Diamond,31,9.31%,10.74193548,,,333,,,,,,,,,,,
Gold Ergo,25,7.51%,13.32,,,333,,,,,,,,,,,
MultiHoops,21,6.31%,15.85714286,,,333,,,,,,,,,,,
None,27,8.11%,12.33333333,,,333,,,,,,,,,,,
Peace Sign,23,6.91%,14.47826087,,,333,,,,,,,,,,,
Pearl,22,6.61%,15.13636364,,,333,,,,,,,,,,,
Pink Balloon,7,2.10%,47.57142857,,,333,,,,,,,,,,,
Pumpkin,4,1.20%,83.25,,,333,,,,,,,,,,,
Rainbow Ergo,18,5.41%,18.5,,,333,,,,,,,,,,,
Red Balloon,12,3.60%,27.75,,,333,,,,,,,,,,,
Ruby,29,8.71%,11.48275862,,,333,,,,,,,,,,,
Silver Ergo,20,6.01%,16.65,,,333,,,,,,,,,,,
Single Hoop,38,11.41%,8.763157895,,,333,,,,,,,,,,,
Spider,6,1.80%,55.5,,,333,,,,,,,,,,,
