Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
Bloodshot Eye,11,3.30%,30.27272727,,,333
Dark Eye,9,2.70%,37,,,333
Digital Eye,12,3.60%,27.75,,,333
Ergo Eye Patch,12,3.60%,27.75,,,333
Eye Four  Blue,14,4.20%,23.78571429,,,333
Eye Four  Green,18,5.41%,18.5,,,333
Eye Four  Orange,17,5.11%,19.58823529,,,333
Eye Four  Purple,15,4.50%,22.2,,,333
Eye One  Blue,20,6.01%,16.65,,,333
Eye One  Green,23,6.91%,14.47826087,,,333
Eye One  Orange,18,5.41%,18.5,,,333
Eye One  Purple,16,4.80%,20.8125,,,333
Eye Patch,10,3.00%,33.3,,,333
Eye Three,12,3.60%,27.75,,,333
Eye Three  Blue,7,2.10%,47.57142857,,,333
Eye Three  Green,12,3.60%,27.75,,,333
Eye Three  Orange,17,5.11%,19.58823529,,,333
Eye Three Red,1,0.30%,333,,,333
Eye Two  Blue,7,2.10%,47.57142857,,,333
Eye Two  Green,5,1.50%,66.6,,,333
Eye Two  Orange,9,2.70%,37,,,333
Eye Two  Purple,8,2.40%,41.625,,,333
Glasses,10,3.00%,33.3,,,333
Gold Eye,2,0.60%,166.5,,,333
Gold Shimmer,1,0.30%,333,,,333
Monocle,9,2.70%,37,,,333
Over 9000 Eye Piece,11,3.30%,30.27272727,,,333
Rose Colored Glasses,10,3.00%,33.3,,,333
Scarred Eye,10,3.00%,33.3,,,333
Silver Eye,7,2.10%,47.57142857,,,333
