Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
Chiclet Teeth Gold Tongue,5,1.50%,66.6,,,333
Chiclet Teeth Silver Tongue,4,1.20%,83.25,,,333
Chiclet Teeth Tongue Five,6,1.80%,55.5,,,333
Chiclet Teeth Tongue Four,10,3.00%,33.3,,,333
Chiclet Teeth Tongue One,7,2.10%,47.57142857,,,333
Chiclet Teeth Tongue Three,12,3.60%,27.75,,,333
Chiclet Teeth Tongue Two,4,1.20%,83.25,,,333
Gold Shimmer,1,0.30%,333,,,333
Gold Teeth Gold Tongue,1,0.30%,333,,,333
Gold Teeth Silver Tongue,3,0.90%,111,,,333
Gold Teeth Tongue Five,5,1.50%,66.6,,,333
Gold Teeth Tongue Four,7,2.10%,47.57142857,,,333
Gold Teeth Tongue One,9,2.70%,37,,,333
Gold Teeth Tongue Three,9,2.70%,37,,,333
Gold Teeth Tongue Two,5,1.50%,66.6,,,333
Missing Tooth Gold Tongue,7,2.10%,47.57142857,,,333
Missing Tooth Silver Tongue,9,2.70%,37,,,333
Missing Tooth Tongue Five,10,3.00%,33.3,,,333
Missing Tooth Tongue Four,4,1.20%,83.25,,,333
Missing Tooth Tongue One,10,3.00%,33.3,,,333
Missing Tooth Tongue Three,5,1.50%,66.6,,,333
Missing Tooth Tongue Two,10,3.00%,33.3,,,333
Nasty Teeth Gold Tongue,3,0.90%,111,,,333
Nasty Teeth Silver Tongue,4,1.20%,83.25,,,333
Nasty Teeth Tongue Five,4,1.20%,83.25,,,333
Nasty Teeth Tongue Four,6,1.80%,55.5,,,333
Nasty Teeth Tongue One,9,2.70%,37,,,333
Nasty Teeth Tongue Three,12,3.60%,27.75,,,333
Nasty Teeth Tongue Two,4,1.20%,83.25,,,333
Perfect Teeth Gold Tongue,4,1.20%,83.25,,,333
Perfect Teeth Silver Tongue,10,3.00%,33.3,,,333
Perfect Teeth Tongue Five,14,4.20%,23.78571429,,,333
Perfect Teeth Tongue Four,7,2.10%,47.57142857,,,333
Perfect Teeth Tongue One,10,3.00%,33.3,,,333
Perfect Teeth Tongue Three,10,3.00%,33.3,,,333
Perfect Teeth Tongue Two,6,1.80%,55.5,,,333
Sharp Teeth Gold Tongue,0,0.00%,0,,,333
Sharp Teeth Silver Tongue,9,2.70%,37,,,333
Sharp Teeth Tongue Five,10,3.00%,33.3,,,333
Sharp Teeth Tongue Four,5,1.50%,66.6,,,333
Sharp Teeth Tongue One,3,0.90%,111,,,333
Sharp Teeth Tongue Three,11,3.30%,30.27272727,,,333
Sharp Teeth Tongue Two,6,1.80%,55.5,,,333
Silver Teeth Gold Tongue,5,1.50%,66.6,,,333
Silver Teeth Silver Tongue,8,2.40%,41.625,,,333
Silver Teeth Tongue Five,7,2.10%,47.57142857,,,333
Silver Teeth Tongue Four,3,0.90%,111,,,333
Silver Teeth Tongue One,5,1.50%,66.6,,,333
Silver Teeth Tongue Three,12,3.60%,27.75,,,333
Silver Teeth Tongue Two,3,0.90%,111,,,333
