Item,Number of,Rarity percent,Local Rarity Points,,Total number of,333
Birthday Glass,16,4.80%,20.8125,,,333
Cthulhu Wine Glass,12,3.60%,27.75,,,333
Dark Flower,20,6.01%,16.65,,,333
Digital Wine Glass,15,4.50%,22.2,,,333
Drunken Master Gourd,16,4.80%,20.8125,,,333
ERGoat Wine Bottle,32,9.61%,10.40625,,,333
Golden ERGoat Scepter,6,1.80%,55.5,,,333
Golden Goblet,7,2.10%,47.57142857,,,333
Hand Gun,14,4.20%,23.78571429,,,333
Magnifying Glass,10,3.00%,33.3,,,333
Martini,29,8.71%,11.48275862,,,333
None,1,0.30%,333,,,333
Red Wine Glass,26,7.81%,12.80769231,,,333
Shrimp and White Wine Glass,21,6.31%,15.85714286,,,333
Tie Dye Glass,20,6.01%,16.65,,,333
Tiki Glass,20,6.01%,16.65,,,333
Wand,4,1.20%,83.25,,,333
Water Glass,19,5.71%,17.52631579,,,333
White Wine Glass,21,6.31%,15.85714286,,,333
Wooden Beer Stein,24,7.21%,13.875,,,333
